3:14 pm – 4:58 pm,C$ 99
direct,C$ 97
1h 44m,C$ 99
4:48 pm – 6:44 pm,C$ 99
direct,C$ 110
1h 56m,C$ 110
9:18 am – 11:07 am,C$ 110
direct,C$ 108
1h 49m,C$ 110
4:48 pm – 6:44 pm,C$ 110
direct,C$ 110
1h 56m,C$ 108
7:20 am – 9:05 am,C$ 110
direct,C$ 110
1h 45m,C$ 110
4:48 pm – 6:44 pm,
direct,
1h 56m,
10:14 am – 12:00 pm,
direct,
1h 46m,
direct,
1h 56m,
3:14 pm – 4:58 pm,
direct,
1h 44m,
5:48 pm – 7:46 pm,
direct,
1h 58m,
7:20 am – 9:05 am,
direct,
1h 45m,
5:48 pm – 7:46 pm,
direct,
1h 58m,
10:14 am – 12:00 pm,
direct,
1h 46m,
4:48 pm – 6:44 pm,
5:48 pm – 7:46 pm,
direct,
1h 58m,
9:18 am – 11:07 am,
direct,
1h 49m,
5:48 pm – 7:46 pm,
direct,
1h 58m,
3:14 pm – 4:58 pm,
direct,
1h 44m,
12:59 pm – 3:01 pm,
direct,
2h 02m,
7:20 am – 9:05 am,
direct,
1h 45m,
12:59 pm – 3:01 pm,
direct,
2h 02m,
10:14 am – 12:00 pm,
direct,
1h 46m,
12:59 pm – 3:01 pm,
direct,
2h 02m,
9:18 am – 11:07 am,
direct,
1h 49m,
12:59 pm – 3:01 pm,
direct,
2h 02m,
3:14 pm – 4:58 pm,
direct,
1h 44m,
9:26 pm – 11:29 pm,
direct,
2h 03m,
7:20 am – 9:05 am,
direct,
1h 45m,
9:26 pm – 11:29 pm,
direct,
2h 03m,
10:14 am – 12:00 pm,
direct,
1h 46m,
9:26 pm – 11:29 pm,
direct,
2h 03m,
